iter	Passed	Remaining
0	0	84
1	1	73
2	2	70
3	2	63
4	3	63
5	3	59
6	4	60
7	5	59
8	5	57
9	6	62
10	7	62
11	8	60
12	8	59
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	49
21	13	49
22	14	48
23	14	47
24	15	46
25	16	46
26	17	46
27	17	45
28	18	44
29	19	44
30	19	43
31	20	43
32	21	42
33	21	42
34	22	41
35	23	41
36	23	40
37	24	40
38	25	39
39	25	38
40	26	38
41	27	37
42	27	37
43	28	36
44	29	35
45	30	35
46	31	34
47	31	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	37	28
57	38	27
58	38	27
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	43	20
68	44	19
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
